period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,1610,75,69,0,1,0,0,0,0
1,2252,95,51,0,0,0,1,1,0
1,2332,95,57,0,1,0,0,1,0
1,2424,86,43,0,1,0,0,1,0
1,2427,91,58,0,1,0,0,1,0
1,3026,81,59,1,0,1,0,1,0
2,1429,83,13,0,0,1,0,1,0
2,1628,89,71,0,1,0,0,0,0
2,1872,75,64,0,0,1,0,1,0
2,2080,94,50,0,0,0,1,1,0
2,2124,91,41,0,1,0,0,1,0
2,2348,85,30,0,1,0,0,1,0
2,2494,93,71,0,1,0,0,0,0
2,2632,88,44,0,1,0,0,0,0
2,2763,86,33,0,1,0,0,1,0
2,2870,79,22,1,1,0,0,1,0
1,293,94,49,0,0,0,1,1,1
1,631,83,65,0,1,0,0,1,0
1,923,95,55,0,0,1,0,0,0
1,1703,92,44,0,0,0,1,1,0
1,2151,81,32,0,1,0,0,0,0
1,2551,72,77,0,1,0,0,1,0
2,285,92,27,0,0,1,0,1,0
2,458,72,50,0,1,0,0,0,0
2,517,78,23,0,1,0,0,0,0
2,610,73,46,0,0,1,0,0,0
2,954,90,25,0,0,1,0,1,0
2,1239,75,53,1,1,0,0,1,0
2,1254,82,29,0,0,1,0,1,0
2,1306,93,69,0,0,1,0,1,0
2,1403,99,53,0,0,1,0,1,1
2,1539,78,37,0,1,0,0,1,0
2,1614,73,60,0,1,0,0,0,0
2,1840,72,66,0,1,0,0,1,0
2,1940,73,51,0,1,0,0,0,0
2,2035,79,34,0,1,0,0,0,0
2,2258,88,45,0,0,0,1,1,0
2,2422,90,30,0,0,1,0,0,0
2,2473,71,66,0,1,0,0,0,0
2,2543,72,69,0,1,0,0,0,0
2,2546,89,42,0,0,1,0,0,0
2,2803,91,43,0,0,0,1,0,0
1,405,83,68,0,0,1,0,1,0
1,559,53,32,0,1,0,0,1,1
1,770,79,43,0,0,1,0,1,0
1,1343,97,56,0,1,0,0,1,1
1,1868,97,62,0,1,0,0,0,0
1,2033,87,28,0,1,0,0,0,0
1,2069,79,62,0,0,1,0,1,0
1,2433,74,59,1,0,1,0,0,0
1,2436,74,58,0,0,1,0,1,1
2,44,83,48,0,0,1,0,1,0
2,226,92,71,0,0,1,0,1,0
2,618,82,60,0,1,0,0,0,0
2,744,91,44,0,0,0,1,1,0
2,970,73,37,0,1,0,0,1,0
2,1162,71,56,1,1,0,0,0,0
2,1318,81,95,1,0,1,0,1,0
2,1367,95,60,0,1,0,0,1,0
2,1715,72,40,1,0,1,0,1,1
2,1942,78,39,0,1,0,0,0,0
2,2264,93,52,0,1,0,0,1,0
2,2331,75,51,0,0,1,0,0,0
2,2538,89,53,0,0,1,0,1,1
2,2693,83,65,0,1,0,0,0,0
2,2728,77,37,0,0,1,0,1,1
1,285,92,45,0,0,0,1,1,0
1,979,89,48,0,1,0,0,1,1
1,1103,91,42,0,1,0,0,1,0
1,1247,72,60,0,1,0,0,0,0
1,1500,68,53,1,0,1,0,1,0
1,1693,76,69,0,1,0,0,0,0
1,2000,89,40,0,0,0,1,0,0
2,130,89,64,0,1,0,0,0,0
2,361,89,30,0,1,0,0,0,0
2,372,94,55,0,0,0,1,1,0
2,890,74,50,0,1,0,0,0,0
2,1185,86,47,0,0,1,0,1,0
2,1493,81,66,0,0,1,0,1,1
2,1611,72,53,0,0,1,0,0,0
2,1622,80,30,0,0,1,0,1,0
2,2002,93,49,0,0,0,1,1,0
2,2015,92,64,0,0,1,0,0,0
2,2113,86,29,0,0,1,0,1,0
2,2360,92,41,0,1,0,0,1,0
2,2750,82,55,0,0,1,0,0,0
2,2752,76,46,0,1,0,0,0,0
1,499,68,60,0,0,1,0,1,0
1,735,90,44,0,0,0,1,1,0
1,918,76,64,1,0,1,0,0,0
1,1277,75,23,1,1,0,0,1,0
1,1824,86,36,0,1,0,0,1,0
1,2093,90,44,0,0,1,0,1,0
1,2131,93,45,0,0,0,1,1,0
1,2522,78,81,0,0,1,0,1,0
2,430,69,48,0,0,1,0,0,0
2,549,76,79,0,1,0,0,0,0
2,789,93,65,0,0,0,1,1,0
2,791,99,60,0,1,0,0,1,0
2,895,69,65,0,1,0,0,0,0
2,909,89,45,0,0,0,1,1,0
2,930,89,63,0,0,0,1,0,0
2,1221,89,60,0,0,0,1,1,0
2,1333,90,64,0,0,1,0,0,0
2,1349,87,36,0,1,0,0,1,0
2,1420,71,77,0,1,0,0,0,0
2,1494,90,34,0,0,1,0,1,0
2,1520,89,58,0,0,0,1,1,0
2,1529,92,62,0,0,0,1,1,0
2,1659,73,28,1,1,0,0,0,0
2,1668,79,35,0,0,1,0,0,0
2,1895,94,36,0,0,0,1,1,0
2,1926,93,57,0,1,0,0,1,1
2,2169,88,71,0,0,1,0,1,0
2,2319,87,74,0,1,0,0,1,0
2,2457,80,76,0,0,1,0,0,0
2,2649,87,70,0,1,0,0,1,0
2,2743,81,37,0,1,0,0,1,0
2,2838,83,69,0,0,1,0,1,0
1,181,87,30,0,0,1,0,1,0
1,588,78,73,0,0,1,0,0,0
1,1268,73,47,0,1,0,0,0,0
1,1277,86,53,0,0,1,0,0,0
1,1435,90,45,0,1,0,0,1,1
1,1904,73,43,0,1,0,0,1,0
1,1986,90,29,0,0,1,0,1,0
2,315,85,38,0,1,0,0,0,0
2,375,86,70,0,0,1,0,1,0
2,574,74,53,0,0,1,0,1,0
2,687,74,58,0,0,1,0,0,0
2,1054,88,48,0,0,0,1,1,0
2,1610,98,58,0,1,0,0,1,1
2,1742,89,53,0,0,0,1,1,0
2,1874,76,46,0,0,1,0,0,0
2,1899,80,88,0,1,0,0,0,0
2,2185,95,58,0,1,0,0,0,0
2,2193,71,54,0,0,1,0,0,0
2,2626,93,45,0,0,0,1,0,0
2,2635,90,75,0,1,0,0,0,0
2,2657,96,64,0,1,0,0,0,0
2,2731,95,58,0,1,0,0,1,0
1,121,83,75,0,0,1,0,0,0
1,517,95,68,0,1,0,0,1,0
1,1202,73,45,0,1,0,0,1,0
1,1272,71,55,0,1,0,0,1,0
1,1835,84,65,0,0,1,0,1,0
1,2021,87,51,0,1,0,0,1,0
1,2114,80,40,0,1,0,0,0,0
1,2265,80,55,0,1,0,0,0,0
1,2335,88,49,0,0,1,0,1,0
1,2460,87,39,0,1,0,0,0,0
1,2689,87,51,0,1,0,0,1,1
2,113,96,36,0,0,1,0,1,0
2,116,95,53,0,1,0,0,1,1
2,444,72,49,0,1,0,0,1,0
2,991,95,67,0,0,0,1,1,0
2,1038,90,70,0,1,0,0,0,0
2,1384,81,35,0,0,1,0,1,0
2,1747,75,49,0,1,0,0,1,0
2,1811,78,29,0,0,1,0,0,0
2,1871,84,44,0,0,0,1,1,0
2,2108,74,29,1,1,0,0,1,0
2,2165,77,27,0,1,0,0,0,0
2,2277,87,48,0,0,0,1,1,0
2,2354,80,26,0,1,0,0,1,0
2,2565,83,43,0,0,1,0,1,0
2,2716,89,67,0,1,0,0,1,0
2,2749,76,74,0,0,1,0,1,0
1,44,90,66,0,0,1,0,1,0
1,638,89,28,0,0,1,0,0,0
1,687,94,30,0,0,0,1,1,0
1,811,87,56,0,1,0,0,1,0
1,1042,89,59,0,1,0,0,1,0
1,1074,87,45,0,1,0,0,1,1
1,1232,73,43,0,0,1,0,1,0
1,1522,89,44,0,0,0,1,1,0
1,1758,75,79,0,0,1,0,0,0
1,1807,88,27,0,0,1,0,1,0
1,1810,89,53,0,1,0,0,1,1
1,1972,86,53,0,0,1,0,1,0
1,2007,63,63,0,1,0,0,1,0
1,2076,74,37,0,0,1,0,1,1
1,2487,87,57,0,1,0,0,1,0
1,2624,77,27,0,0,1,0,1,0
1,2628,79,30,0,0,1,0,1,0
2,413,69,49,0,0,1,0,0,0
2,591,90,35,0,1,0,0,1,0
2,1100,77,20,1,1,0,0,1,0
2,1565,90,40,0,1,0,0,1,0
2,1645,88,65,0,1,0,0,1,0
2,1905,82,68,0,1,0,0,0,0
2,1947,94,51,0,0,0,1,1,0
2,2189,79,35,0,1,0,0,1,1
2,2303,89,48,0,0,1,0,1,1
2,2557,88,49,0,0,1,0,1,0
2,2710,50,79,0,1,0,0,1,0
2,2772,88,43,0,0,1,0,1,1
1,543,71,64,0,0,1,0,1,0
1,661,79,41,0,1,0,0,0,0
1,818,92,52,0,1,0,0,1,1
1,1516,73,37,0,1,0,0,1,0
