period,time,x,y,target,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,2153,78,56,0.0,0,0,1,0,1,0
2,2276,81,32,0.0,0,1,0,0,0,0
2,2304,75,58,0.0,0,0,1,0,0,0
2,2535,78,62,0.0,0,1,0,0,1,0
2,2816,88,64,0.0,0,1,0,0,1,0
2,2999,71,44,0.0,1,0,1,0,0,0
1,757,70,55,1.0,0,1,0,0,0,0
1,801,80,66,0.0,0,1,0,0,1,0
1,923,73,50,0.0,0,1,0,0,1,0
1,1301,70,55,1.0,0,1,0,0,0,0
1,1878,80,44,0.0,0,1,0,0,0,0
1,1912,93,46,0.0,0,0,0,1,1,0
1,1995,88,46,1.0,0,0,1,0,1,0
1,2334,89,54,0.0,0,0,0,1,1,0
1,2518,89,75,0.0,0,1,0,0,1,0
1,2704,86,34,1.0,0,1,0,0,1,0
1,2746,74,67,1.0,0,1,0,0,0,0
2,213,88,70,1.0,0,0,1,0,1,0
2,288,69,48,0.0,0,1,0,0,1,0
2,369,90,27,1.0,0,1,0,0,1,0
2,831,88,47,1.0,0,0,0,1,1,0
2,1066,92,48,0.0,0,0,0,1,1,0
2,1889,88,63,1.0,0,0,1,0,1,0
2,2203,90,53,1.0,0,0,0,1,1,0
2,2476,69,29,1.0,0,1,0,0,0,0
2,2517,89,63,1.0,0,1,0,0,1,0
2,2806,91,64,0.0,0,1,0,0,1,0
1,248,93,32,1.0,0,0,1,0,1,0
1,749,87,47,0.0,0,1,0,0,1,0
1,1236,72,54,1.0,0,1,0,0,0,0
1,1755,89,41,0.0,0,0,1,0,1,0
1,1922,95,42,1.0,0,0,0,1,1,0
1,2794,80,44,1.0,0,1,0,0,1,0
2,216,76,33,0.0,0,0,1,0,0,0
2,439,91,33,0.0,0,0,1,0,1,0
2,457,89,35,1.0,0,1,0,0,1,1
2,1083,90,40,0.0,0,0,1,0,1,0
2,1087,98,41,0.0,0,0,1,0,1,0
2,1110,90,51,0.0,0,0,0,1,1,0
2,1227,94,58,1.0,0,1,0,0,1,0
2,1548,88,77,0.0,0,0,1,0,1,0
2,2071,84,31,1.0,0,1,0,0,0,0
2,2097,74,56,1.0,0,1,0,0,1,1
2,2289,81,32,0.0,0,1,0,0,1,0
2,2455,73,44,1.0,1,1,0,0,1,0
2,2458,85,43,1.0,0,0,0,1,0,0
2,2630,80,62,1.0,0,0,1,0,0,0
2,2633,69,68,1.0,0,1,0,0,0,0
2,2703,89,36,0.0,0,0,1,0,0,0
2,2743,81,48,1.0,0,1,0,0,1,0
2,2747,93,48,1.0,0,1,0,0,1,1
1,137,77,46,1.0,1,1,0,0,1,0
1,301,80,49,1.0,0,1,0,0,1,0
1,1220,96,36,1.0,0,0,1,0,0,0
1,2007,92,32,1.0,0,1,0,0,0,0
1,2675,97,52,1.0,0,0,1,0,1,0
2,14,76,67,0.0,0,1,0,0,1,0
2,203,88,56,0.0,0,1,0,0,1,1
2,693,69,33,0.0,0,1,0,0,1,0
2,1211,87,75,0.0,0,1,0,0,1,0
2,1327,81,33,1.0,0,1,0,0,1,0
2,1375,78,71,0.0,0,0,1,0,0,0
2,1406,79,46,0.0,0,1,0,0,0,0
2,1484,88,61,0.0,0,0,0,1,1,0
2,1589,94,59,0.0,0,0,0,1,1,0
2,1705,81,68,0.0,0,0,1,0,0,0
2,1718,83,32,0.0,0,1,0,0,1,0
2,1721,86,62,0.0,0,1,0,0,1,0
2,1756,94,47,0.0,0,1,0,0,1,1
2,2020,77,63,0.0,0,0,1,0,0,0
2,2314,80,60,0.0,0,0,1,0,1,0
2,2535,93,33,1.0,0,0,1,0,1,0
2,2602,70,48,0.0,0,1,0,0,0,0
2,2654,90,49,1.0,0,0,0,1,0,0
2,3068,85,36,0.0,0,0,1,0,0,0
1,364,80,45,0.0,0,1,0,0,0,0
1,430,87,32,1.0,0,0,1,0,1,0
1,504,77,33,0.0,0,1,0,0,1,0
1,835,93,61,1.0,0,1,0,0,1,1
1,1601,89,48,1.0,0,1,0,0,1,0
1,1997,78,30,1.0,1,0,1,0,1,0
1,2290,90,34,1.0,0,0,1,0,1,0
1,2461,74,57,0.0,0,1,0,0,0,0
1,2826,87,55,0.0,0,0,0,1,1,0
2,1545,74,51,0.0,0,1,0,0,1,0
2,1792,90,62,0.0,0,1,0,0,1,0
2,2096,89,46,1.0,0,0,1,0,1,0
2,2266,95,32,0.0,0,1,0,0,1,0
2,2339,74,69,0.0,1,1,0,0,1,0
2,2448,87,46,1.0,0,1,0,0,1,1
1,1136,82,54,1.0,0,1,0,0,0,0
1,1670,90,42,0.0,0,0,0,1,1,0
1,1826,77,23,0.0,1,1,0,0,1,0
1,2012,85,44,0.0,0,1,0,0,1,0
1,2014,84,51,0.0,0,1,0,0,1,0
1,2180,78,53,1.0,0,0,1,0,0,0
1,2344,74,56,1.0,0,1,0,0,0,0
1,2390,84,56,0.0,0,1,0,0,1,0
1,2458,74,60,1.0,0,1,0,0,0,0
1,2614,69,47,0.0,0,0,1,0,0,0
1,2703,89,52,0.0,0,1,0,0,1,0
1,2804,86,70,0.0,0,1,0,0,1,0
2,356,76,62,1.0,0,1,0,0,1,0
2,452,90,48,1.0,0,1,0,0,1,1
2,564,89,49,0.0,0,0,0,1,1,0
2,620,91,54,0.0,0,0,0,1,1,0
2,665,80,68,0.0,0,0,1,0,0,0
2,1209,89,77,0.0,0,1,0,0,1,0
