period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,1066,89,68,0,0,1,0,1,0
2,1136,91,56,0,0,0,1,1,0
2,1614,94,54,0,0,0,1,1,1
2,1754,72,23,0,1,0,0,0,0
2,1803,87,59,0,0,1,0,1,0
2,1862,95,46,0,0,0,1,1,0
2,2336,74,38,1,1,0,0,0,0
2,2396,92,65,0,1,0,0,1,0
2,2453,95,49,0,0,1,0,1,1
2,2708,79,42,0,1,0,0,0,0
2,2837,83,46,0,1,0,0,0,0
1,38,75,36,0,1,0,0,0,0
1,41,87,25,0,1,0,0,0,0
1,250,86,35,0,0,1,0,1,0
1,282,93,57,0,0,0,1,1,0
1,473,96,43,0,0,0,1,1,0
1,573,74,62,0,1,0,0,1,0
1,699,76,62,0,1,0,0,0,0
1,1036,96,58,0,0,0,1,1,0
1,1280,91,76,0,1,0,0,0,0
1,1344,93,55,0,0,0,1,1,0
1,1548,97,63,0,0,0,1,1,0
1,1907,73,38,0,0,1,0,0,0
1,1954,77,39,0,0,1,0,0,0
1,1994,74,57,0,0,1,0,0,0
1,2128,69,49,0,1,0,0,0,0
